"mu_xi_girls[1]" "mu_xi_girls[2]" "mu_xi_girls[3]" "mu_xi_girls[4]" "mu_xi_girls[5]"
"1" 0.222530552218768 0.810677264945835 -1.54682423449952 -0.622076047903969 -1.34462917577523
"2" 1.80075985962969 11.1248792976737 3.55158662684712 1.16071047003602 -0.191712820734524
"3" 0.161529020868536 14.5047137735135 0.676016229669902 2.04801043011297 -0.116726493305713
"4" -0.400716604233137 15.5033029410395 0.339873062074614 1.94800941326708 -0.184968605900813
"5" -0.983156388026438 16.8974843388604 -0.616311927155853 2.05990448441314 -0.00456209348866786
"6" -1.31689899412987 18.6640568854112 -3.40722136417706 3.95455397366352 -0.497913477967604
"7" -2.31402777496339 21.0283197376294 -4.91804420716635 4.03592062845941 -0.368890893953862
"8" -2.39074311186433 20.8595391232659 -5.49989645955999 4.99259468617388 -0.502072445495188
"9" -2.3805142906601 21.1045517200537 -5.52927356643911 4.5228619727238 -0.323258265704314
"10" -2.33616499050687 20.7733909033888 -5.38363068050768 4.66406063376515 -0.320440703234142
"11" -2.14696713333348 20.2817705674008 -4.35449215787941 4.20534225957555 -0.417084497648615
"12" -2.0306856462658 20.0777443111275 -4.73155928410598 4.45833332649065 -0.461248707681935
"13" -2.41340017616033 20.8340732480146 -5.12465720021551 4.40870515969963 -0.531187464449502
"14" -2.24839984242501 20.3569904176891 -4.51061859835522 4.19545365289297 -0.280093915526524
"15" -2.54604473979529 20.1843700500564 -4.20691594461135 3.74726752489929 -0.0861151646346487
"16" -2.33312578528744 20.5883950459983 -4.85003798338373 4.59607240154457 -0.598659231402429
"17" -2.73892608942382 21.6086806362887 -6.42381574430963 5.65326588160006 -0.763447428543525
"18" -2.42026883024048 21.0872864604859 -4.98059394941018 4.42511638527352 -0.497383508105555
"19" -2.35786421389316 20.6942942200352 -4.75320371586507 4.43540804057711 -0.600468013636455
"20" -2.50363457713095 20.8632578532149 -5.18556962608236 4.93880772272807 -0.618112623103824
"21" -2.62374208429948 21.3414547594108 -5.62298037182499 4.82088435792608 -0.63440499443436
"22" -2.17607377126809 20.9032851915008 -5.75366803327799 4.89591240415542 -0.447498537896277
"23" -2.5821081780903 21.3367903707415 -5.70372534787864 4.77666937567535 -0.549127356183201
"24" -2.67959349129922 21.2441913487476 -5.4890928417484 4.95479694030843 -0.562830353764629
"25" -2.07037287622857 20.6160115914202 -5.41034073745843 4.69235615957994 -0.598388508802118
"26" -2.38117229561492 21.0186928409717 -5.4142835269747 5.07700453601078 -0.638443508262988
"27" -2.68255290793387 21.6323722610257 -5.92789621656766 4.90541881047022 -0.685169874401578
"28" -2.53711691630541 21.2104810934343 -5.82189526878976 5.07761048186722 -0.567466039171031
"29" -2.34226865630096 20.9305613515994 -5.13046377578648 4.70346279628914 -0.625172708821808
"30" -2.36377761432969 21.0586110524392 -5.43509088892181 4.68792903474668 -0.510345634516199
"31" -2.4132077299035 20.7924674974162 -5.31684362831386 4.94930906866299 -0.635406240118415
"32" -2.1334322376343 20.4760958750061 -5.10779118783064 4.28462496923555 -0.433245356341444
"33" -2.00952024729787 20.2892251437529 -4.88462125617178 4.69392437291528 -0.610897281732002
"34" -2.2557455824425 20.4991830713577 -4.93429539219014 4.06725355496967 -0.399324471838239
"35" -2.58164740841085 20.9495599455529 -5.06091750570541 4.39450885023952 -0.407114202085618
"36" -2.21247914678009 20.7648467504926 -4.56242753151472 4.05322972393347 -0.387995539050028
"37" -2.20998984637678 21.2444409241028 -5.73813778685834 4.7357519170152 -0.741820432967476
"38" -2.70508221944867 21.4738080847947 -5.63101070879068 5.00608996684234 -0.549303208328292
"39" -2.83300869981896 21.3925752451106 -5.3785516362655 4.918918073236 -0.712880012340204
