"mu_xi_boys[1]" "mu_xi_boys[2]" "mu_xi_boys[3]" "mu_xi_boys[4]" "mu_xi_boys[5]"
"1" 0.283775295749082 -0.285215280767226 -0.0180881272785778 -0.927945450779116 -0.180063493182551
"2" 1.81496767241574 10.7939994681891 1.53427532550197 4.21851303175876 0.401906491689356
"3" 0.110847754639368 15.6651773618459 -3.43433211515561 6.11980890713281 0.20687151598326
"4" -1.00982107216887 18.2481232494102 -5.22897914582888 6.87496823564527 0.139006359821217
"5" -1.9362874811703 19.7387347762622 -7.18217807697243 7.98573723840887 -0.106919527639131
"6" -2.8897279999579 23.1620511102516 -10.7946917871205 9.53821373534069 -0.0920658534996897
"7" -3.75337805743554 25.1698188925166 -13.1908624370134 11.0567153452226 -0.904998157357952
"8" -3.56908974391205 25.5296531289757 -13.4983107565736 11.2187454567567 -0.748180786430676
"9" -3.80883668004066 24.9100307092949 -12.2747960136369 10.1879874712704 -0.466727449969508
"10" -4.1098731160867 25.1661967479539 -12.9209638928707 10.8631241006339 -0.565045116691372
"11" -3.73879655095169 25.4756098456158 -13.1022177025323 10.933734851938 -0.655887698430407
"12" -3.99294113355552 25.5834969751007 -13.2849810771592 11.1564540898357 -0.849640702340429
"13" -4.18564795693595 26.2843608511121 -14.4483922606395 11.6780954763398 -0.687663342670991
"14" -4.32714405921917 26.3254565521785 -14.197861852423 11.5878173800256 -0.981939748100217
"15" -3.99453989046541 25.7582978819661 -13.320353045286 11.0552694814609 -0.667641722975906
"16" -4.29770380065568 26.6035178026011 -14.7302084612091 11.9936354198677 -0.799114274007672
"17" -3.94731257515377 24.7793704239778 -12.2969624851919 10.7216069993835 -0.642699268501086
"18" -3.70453402352984 24.9630449264734 -12.3630146523824 10.8334697383688 -0.763691759766963
"19" -4.24122904254615 26.2133162106331 -13.6855045588964 11.1271084499953 -1.0069124149012
"20" -3.86834087708015 24.9582148892448 -12.2858113409874 10.4604681628724 -0.340988932500675
"21" -3.93104116348114 25.2047729827816 -13.0153706212475 10.9060779105391 -0.670779901963378
"22" -4.23229647814896 25.379035481582 -12.8524486343914 11.1607630267893 -0.729359283138943
"23" -4.0602839029457 25.569343942996 -13.3849519647411 11.2019862477143 -0.670478896742624
"24" -3.44197387960548 24.5514856256993 -12.4210334906659 10.8725826349499 -0.809118087341314
"25" -3.79965067166247 25.265255588587 -13.1851573310895 11.2731322042672 -0.833581432047172
"26" -4.0532957743819 25.1727669063021 -12.7014709619685 10.734618974881 -0.813728237619081
"27" -3.88827792062258 25.2864726485757 -12.9794536538787 10.7268177183659 -0.471241171636695
"28" -4.23602463853831 26.3396618921864 -14.091264051069 11.0880744487247 -0.540505782021304
