"mu_xi_boys[1]" "mu_xi_boys[2]" "mu_xi_boys[3]" "mu_xi_boys[4]" "mu_xi_boys[5]" "mu_xi_boys[6]" "mu_xi_boys[7]" "mu_xi_boys[8]" "mu_xi_boys[9]" "mu_xi_boys[10]" "mu_xi_boys[11]" "mu_xi_boys[12]" "mu_xi_boys[13]" "mu_xi_boys[14]" "mu_xi_boys[15]" "mu_xi_boys[16]" "mu_xi_boys[17]" "mu_xi_boys[18]" "mu_xi_boys[19]"
"1" 0.588246006658856 1.15405813044417 -0.0435069159146937 1.39292909483675 -0.795155062157048 -1.74950960129995 -0.306907463205366 1.40544340920935 -0.294974679435549 1.51051520504375 0.806767082438918 -0.514057038052161 -0.941468128760481 -0.30885671641315 -0.594181984348917 -0.873182826030443 0.559787356846356 -2.47690664868896 -0.425534032296128
"2" -0.991999106668181 3.92410267061696 0.836074418295613 9.17057038177539 14.4312924784734 4.24934354300312 11.66159361871 6.94390542410667 -1.26526172123767 6.18937603246606 -4.72078263023314 11.841994900199 -6.47997696174784 6.18203061080061 10.9034681336626 -0.816951754041011 4.05363397893277 -2.48525296368213 0.351734616326147
"3" 1.33631274038002 3.17243165317936 0.170781287544875 7.86173049463627 16.9552033260794 3.14092920664023 12.4576292250059 5.75372142297865 1.18271642873261 4.48794151766894 -5.57890554667075 10.8210040571879 -6.8432892795336 6.87633958162901 11.5219608469982 -0.705319440537263 1.88105413929332 -0.225411749681564 0.538245067971631
"4" 1.49302968267828 2.786813011843 0.0656353179045128 9.97313207845564 14.7300891051246 3.03411167324823 11.2527311899922 5.8024823183718 4.2032779669884 4.65249255498046 -5.05917267302204 7.72320981926338 -6.40441501387585 9.96934318256542 9.9940514109862 -1.20159396941326 1.573837748223 -0.161586688730902 0.58920250385139
"5" 2.27309430110383 3.40978673049565 -3.84644835967215 12.7766952750191 14.4209819449793 2.66714196968376 10.013679147166 5.3556609779324 5.88860363120786 5.45628663613211 -6.20580562004776 5.89763235157117 -5.40244093758061 10.9628702158993 11.2139083406693 -2.30784199695118 -0.227474890897479 1.69065093486964 0.558141505687502
"6" 4.09247748974729 3.03679439884578 -4.32230717206748 14.1910121424572 16.0480747513994 0.199531877194996 7.86201316904137 6.8307828156691 8.45291982657296 4.89087708467462 -8.99994045739105 7.92626210882552 -5.96338149093295 11.2847724370707 11.5029347349498 -3.18685351374882 0.537859314727057 1.05964526807779 0.351857514251247
"7" 8.4386527649741 0.0575109503157478 -3.54113664571785 13.4113088650316 18.9980379770685 -1.19226090045619 7.37012912256578 9.28863821369084 4.88449037738211 5.9870456833621 -6.62447363930055 4.10361755907678 -4.30114426031449 10.8581655351245 10.6349236996614 -3.1624892012479 2.9697998537245 0.169385843577508 0.213772210874363
"8" 8.38484057636874 0.517766248635851 -6.76887027757849 15.6016513650837 18.4853480143338 -1.11051559534441 5.23858386734648 9.3360974399677 7.53072538818913 6.5557034947781 -8.87339475723571 2.4914413582444 -3.30216785048357 12.9260391456095 10.9823391059359 -5.23634541790572 5.07776756991526 -0.561408156898806 0.272249121209365
"9" 8.94846682271474 0.130767041168443 -6.54961264003167 16.4228299028552 19.7634775387458 -0.596237032074864 3.62996546661518 9.58287754750354 7.05228413173491 7.2029291624237 -7.99062140942383 3.17946925396863 -3.86365506492314 13.2767910595911 7.89802741197655 -3.48983309823021 3.51628477100001 0.0147319399807057 0.449780719228758
"10" 9.44803677131659 -0.508703603684327 -7.35902089267774 19.0438950053809 18.4428455267133 -1.47356598017418 2.78121405413676 12.2465181430434 6.14177478400842 6.29568685537628 -5.74922429278954 0.214725088779951 -0.968566889486053 13.6102834397317 6.59861797479668 -3.5568352800012 4.70565058033724 -0.431589247344454 0.570130417102256
"11" 10.9847459868835 -0.118331634175864 -11.2560193541427 22.650441294194 20.8700837241277 -6.28657230265939 3.78271835837788 11.6781011621421 11.2368037379406 5.71630211133976 -11.4067223940069 1.45404085583924 0.491727565603277 13.9355794354639 6.2059451816462 -3.73724349671792 4.19809822672956 -0.555831883160634 0.393267014757659
"12" 14.897756057587 -0.154612578259311 -15.1014692426001 24.1208237908803 22.1552114877827 -6.99378616028393 2.11215994800369 11.3578548933612 11.4090412693838 6.91927960881299 -12.4018430844204 0.873855913181401 0.611168890895813 14.5957204680352 8.38153809478711 -5.51727492590038 3.84241913206032 -0.35008860005594 0.524504968914471
"13" 15.4277897921971 -2.7327857275063 -12.8498324881295 22.8353330005254 25.7392345593756 -10.0795670406094 2.04833040100811 8.26856247418475 16.3394936036507 7.50189883771554 -11.7260137656077 -1.20467444025226 -3.30164194969482 18.072308168784 6.84413930911042 -4.10818941551041 3.81818630241284 0.518032386483582 0.320036837293409
"14" 18.1406415769313 -2.7627157099825 -16.0950522339115 25.7234005090253 23.5191097483159 -7.88503017420265 3.34673663078299 7.47442462019747 12.5986288090745 10.1611118079887 -11.0169422156725 -1.20001078834841 -3.49124860468464 17.191893689536 7.40928796372617 -3.80975765941561 2.87834774734561 0.948078905952311 0.372231983777236
"15" 16.4730208916822 -0.919884641333078 -16.8911980766369 27.4513830911332 21.8241631164137 -10.1964876433239 4.38086651942684 7.80891105832124 13.8889040603703 9.37544092106872 -12.1256433583991 -2.00583658692944 -2.67807438605047 19.207674666517 6.50527798926045 -6.28290726009209 5.19691609769725 0.477287457043443 0.245858021670636
"16" 16.1837307426255 -0.307058206360548 -18.3493344724024 28.0768444868701 25.5601850324953 -12.5983347259787 4.56735735879064 6.310356605437 14.7841073186924 9.65373392391368 -11.8130752895032 -1.9453201216121 -2.12071561141989 18.5664362816499 6.65725331732155 -5.34604578205555 3.55719767864808 0.160799886608612 0.635955508624842
"17" 18.3275161121366 -1.56096818221332 -18.867556319109 30.9404000113519 22.4483687547255 -14.6054798199334 7.83184358754453 6.13508156663909 16.8189769457753 8.69685454133773 -11.1413200567905 -4.48816893798188 -1.49220850608767 19.8717665941462 7.12190453945965 -4.57730045878839 2.72449616371672 0.307598797934849 0.288838571164356
"18" 20.3669426790686 -4.05099203544629 -18.9104477739235 31.8311363451719 22.2991726344392 -15.5642528799951 10.5823084182593 3.47896151492169 15.6610945042087 9.55586152007969 -12.4189668303687 -1.78186014969984 -0.393716817467488 16.8729377971566 6.52595303636312 -4.02193728627099 2.79715649793148 1.07120473130672 0.354653440149379
"19" 24.0221384242656 -6.01015573346233 -17.6872721427716 32.7174317997812 20.1998268509079 -14.7283095228284 12.0065713954942 5.27083405862723 12.7232993332247 8.63324903900039 -12.2908821446149 2.1932901356117 -0.849123558470573 12.067280921823 7.34597677762875 -2.61316801414115 2.65691875017625 0.478957147351863 0.378376228207253
