"mu_xi_boys[1]" "mu_xi_boys[2]" "mu_xi_boys[3]" "mu_xi_boys[4]" "mu_xi_boys[5]" "mu_xi_boys[6]" "mu_xi_boys[7]" "mu_xi_boys[8]" "mu_xi_boys[9]" "mu_xi_boys[10]" "mu_xi_boys[11]" "mu_xi_boys[12]" "mu_xi_boys[13]" "mu_xi_boys[14]" "mu_xi_boys[15]" "mu_xi_boys[16]" "mu_xi_boys[17]" "mu_xi_boys[18]" "mu_xi_boys[19]" "mu_xi_boys[20]" "mu_xi_boys[21]"
"1" -1.32606681133655 -0.34132246571074 0.271762146353361 0.274851321131554 -0.314095144007748 -1.34194506150142 1.82828177366453 -0.936100484306173 -1.22955503192474 1.3443066426917 0.968578733136154 -0.0941791230883811 1.38520315480861 1.29637577783081 1.21599304523536 0.921681227088636 -0.287204575425163 -1.65004629401887 -0.378698315239865 0.0643921323287396 -2.42413471987383
"2" -0.914185897011743 6.98232717078153 -1.54949845233361 5.21157774670029 11.4573864461421 11.0840139177916 6.81232161013447 6.6942765343577 15.9089013066866 -5.69390147031707 -0.772482576590725 4.93107121201456 2.14497613621463 -3.74805003100639 7.90084193255224 11.2316010679779 0.0693063265548883 1.08336482461894 3.95704663975762 -1.1148491016585 0.427635895773503
"3" -0.619550116997655 4.83287142185466 -2.94585851671063 8.92847575677132 13.581478121192 8.5467732722951 5.07893671949199 6.50565461710218 14.6865267066485 -4.20583362318364 0.731819231810586 7.37964947334259 -1.14476222907041 -3.01292483499343 6.71322946038586 12.1824272958009 -0.505628992208812 4.56505982908351 -1.82425425928696 0.748125115651268 0.177836457748779
"4" 2.31353155935683 3.78275391402939 -3.40769253975369 8.78775404194668 17.0137599371166 9.33955432628994 0.0299813115434648 4.5569849505141 19.9602418661068 -5.37744814163561 3.34973747244026 5.05493889501422 -0.881813979046665 -3.9699945641364 5.09672735902612 12.5368619745894 2.19953943683383 4.55458364070612 -5.26094933832664 3.57737936623021 0.45411454598192
"5" 5.48250868884081 4.4371793924316 -6.83618719535783 9.04163959081594 18.2258380999137 7.29786746903995 0.558910218015425 4.90310242387716 18.7871508016312 0.0253873994524259 -0.162113366763248 2.86894256247508 -1.62040806390475 0.873744379994344 6.41557259285562 8.11828531262335 3.38335584202149 3.16418347321393 -1.81683705932308 1.92610024323251 0.466873862579637
"6" 14.2581533639002 -0.468305760655794 -10.6370801760265 16.1718404179077 20.4759761167022 7.35509489742459 -9.51587964439154 8.32556853309715 19.1760025873929 5.40263258931843 -1.01170784129113 1.0962436447568 -4.62440262363257 1.90195526371974 6.76277526580816 10.7025136045762 3.39606328847043 -0.448791326036458 0.0983162955501544 1.21370281813457 0.228102578969588
"7" 18.6818795494861 -3.05067014327898 -12.3336225445704 17.3586490841533 22.4396861147926 8.57748186307284 -13.2095784620969 10.2392288049237 15.6437665834378 12.3560830264805 -3.79686479424361 -0.16318929140928 -6.42329660404849 3.36629582967098 5.63018698141662 11.8008733863162 3.89537466429068 -2.28166285327072 3.1895890777693 -0.289493860439856 0.644043995750604
"8" 21.8726066048662 -5.45949646465264 -11.596918783154 17.2686270786882 22.8426022235023 9.32260379453736 -14.7401516274239 10.4395953314409 18.6694109457286 10.2574365062525 -6.04790498126536 0.159718906784384 -2.69071572943454 2.29474875743825 4.66440040029401 10.3292046503771 4.44220976648107 -2.63357352304161 3.64585323678186 -0.189623713408186 0.692121834503422
"9" 22.3063431784811 -4.20784007595361 -12.2553289582706 16.9320551655027 22.9565857089505 8.09249019166997 -14.0336533553256 9.39440833979577 21.4245729321158 7.89267107790963 -4.80608451441154 -1.32827532303979 -1.7734152945837 2.90611688187798 5.54308484624316 10.7771725028031 3.8752615834636 -2.94648837175342 3.11462507392338 0.35009007852051 0.215655623534539
"10" 28.3998742795844 -6.43592984062751 -16.1329313534485 20.0189141011235 23.8417144920318 9.11460798105436 -16.8674503433767 8.17204766171861 20.281040968444 11.4483322170173 -5.56173995487947 0.611634076121544 -4.36537842937262 -0.247789530541331 8.42731865309468 11.5151097087045 3.868690315704 -3.75665243929745 3.37081252857243 -0.0712205992499493 0.470964456334492
"11" 27.3087079985637 -5.78266902792427 -16.609213773103 20.9782445261273 24.8291651239889 7.500904259779 -15.5539077428737 7.96633464403838 19.2405363099323 11.1989843120531 -3.72149390132838 -1.18260198723335 -3.36073846176451 0.514263356569462 7.51845497626837 10.5491362471295 4.22389106020513 -3.57696573407413 5.04088767920254 -0.337451248801757 0.187097805252371
