"mu_xi_boys[1]" "mu_xi_boys[2]" "mu_xi_boys[3]" "mu_xi_boys[4]" "mu_xi_boys[5]" "mu_xi_boys[6]" "mu_xi_boys[7]" "mu_xi_boys[8]" "mu_xi_boys[9]" "mu_xi_boys[10]" "mu_xi_boys[11]" "mu_xi_boys[12]" "mu_xi_boys[13]" "mu_xi_boys[14]" "mu_xi_boys[15]"
"1" -0.606778410092567 0.528782626150583 -0.706455566900815 0.337228445622482 -0.298411687838088 0.96649099638049 -0.0264020708746291 1.79387927718475 -1.99175478117983 -0.747176596099695 -0.700139931624651 1.66548604729431 0.668402690800728 -0.968000329123001 -0.871079892972639
"2" 0.694189766258265 0.60693756824835 5.72636269761174 14.061572028222 6.99292966041505 4.50218462342523 7.12432095965134 6.03319763312352 -5.05498160278277 0.640158303501235 5.03503117911541 7.70539754279837 4.40564123250386 -2.05118339062357 0.215048921232274
"3" 1.94430987877921 1.01792482850077 5.05100971590327 12.7395275636229 10.8896383779917 3.63808310235457 7.05038999676135 4.44083198603114 -5.27596765282564 -1.06284921432183 9.15799851977369 7.63474922799366 1.25657002488285 -0.90454799092767 0.651690620734405
"4" 3.82385826852923 -0.186588224432021 4.65701879284124 13.7555970779055 11.0555918027026 4.42583569992481 7.93813436630371 0.540078872648638 -3.74697274435841 2.44127683123201 7.27181017727103 5.21908492384156 2.97343296275895 -1.15759009693837 0.853737687968276
"5" 6.26216963628059 -2.42989666803142 4.26206571132313 14.7894508404059 10.0609194598217 4.47661795115625 5.64042552579801 5.01539418738558 -5.54474350991282 -1.9513108728653 12.3823311068322 4.92003543470251 3.22397844865966 -1.48786749232844 0.454784051012501
"6" 8.55698567134696 -5.18847504974937 5.16105050807522 17.4196161986392 7.34840119922431 3.40845880506164 7.44425187620918 7.45952760090215 -5.95683769984074 -4.87640540436108 13.1834111621712 6.31925716731986 0.886097537352843 -1.235443549683 1.04283506130195
"7" 7.1594967212367 -3.70269880482685 3.48046882038923 18.4527452283158 8.68402078837284 2.63956571476425 8.07228041928091 6.1396158381201 -7.07283138940813 -3.97504980006731 15.2730240890947 6.98407184372386 -2.60948083497557 1.0119240196577 0.355032712379609
"8" 10.485118981028 -7.84776897079128 6.18284380791627 20.6133634921123 6.18629813098975 1.82004813120003 7.24226767133709 9.1417241575952 -7.28632593902448 -3.06290671969756 10.8714224010304 8.13919140884366 -0.134200724529161 -0.399327692826937 0.674855617128976
"9" 10.3427885371293 -8.02342360816357 5.68454130833308 20.2866227720351 5.22930628821628 1.08585682425581 10.0776205861905 7.51486956288615 -8.02466725063861 -3.14217964037888 11.9715761168087 8.34861666064909 -1.11405490409254 0.41155245145567 0.313653061489115
"10" 9.36884187288727 -7.2856022383307 5.82937915682063 21.4103036354042 4.19599789996129 0.0820866839322168 12.1795057189078 8.3255519990079 -9.33371229654458 -1.93771533812228 10.1363177113957 10.2506043170643 -1.74110875000201 0.648012976500643 0.4558431226922
