"mu_xi_girls[1]" "mu_xi_girls[2]" "mu_xi_girls[3]" "mu_xi_girls[4]" "mu_xi_girls[5]" "mu_xi_girls[6]" "mu_xi_girls[7]" "mu_xi_girls[8]" "mu_xi_girls[9]" "mu_xi_girls[10]" "mu_xi_girls[11]" "mu_xi_girls[12]" "mu_xi_girls[13]" "mu_xi_girls[14]" "mu_xi_girls[15]" "mu_xi_girls[16]" "mu_xi_girls[17]" "mu_xi_girls[18]" "mu_xi_girls[19]" "mu_xi_girls[20]" "mu_xi_girls[21]" "mu_xi_girls[22]" "mu_xi_girls[23]" "mu_xi_girls[24]" "mu_xi_girls[25]"
"1" 0.592845742274082 -1.57608221006367 -0.0626036284513314 -0.78176211119254 -1.41365215608723 -1.00664539832146 0.643759709774499 0.486145536041774 -0.828588195625639 0.0851236657833939 -1.40993716377388 0.152811346042599 -1.37908945376637 -1.15793189044251 -0.173753726115767 2.77565149368368 -0.964463695523451 -0.440914211273727 -0.860786337101015 0.81643740504345 0.268224200624858 -0.48529098896381 0.139056134764278 -0.146073116078449 0.526802283508144
"2" 5.98969880247064 -5.32902790694775 8.09599422971792 2.78829663419902 6.63095504522245 15.0230259843859 5.29007773445562 5.23066254886796 8.60594871038771 12.5644207737382 6.11305333026521 -2.20352839715551 -3.81626887008836 5.71457064969051 6.58141504726731 3.60598482369679 0.891264338739688 6.33693107341813 -1.53523166398969 5.13929658357387 1.02062715316289 -3.39844804314961 0.534468753233011 1.17690503452173 0.0403783116784375
"3" 12.205510123563 -6.04625638709407 9.6094061674405 -1.99943113194583 6.15682819158996 21.1326679928543 4.02889645798572 1.92490639743988 8.45812128699221 12.0671297799038 12.0690750830138 -2.85657946879845 -7.95822261606532 5.97857488125998 4.54183564963027 7.76884059940992 -0.150988629306831 7.47490374018584 -1.81615991353963 1.83289568624824 3.43894226144525 -3.13923091017876 0.500282846411771 0.821830902554961 0.276092051995659
"4" 14.7339205718183 -4.93565014387503 7.9529176855209 -4.35195590649123 6.38532852664961 26.6343726013316 2.36663393043412 1.27370376383883 5.62820465600745 14.6121126419768 12.001370227536 -2.27915225679772 -9.04196193005992 4.38948881789759 6.29207387509811 9.36972993352495 -0.763680902034715 7.68543379768468 -4.55422539325029 3.56013059215994 3.59681757433394 -4.96526164508324 3.54780471335431 -0.55075138326423 0.167908112819659
"5" 19.9930730699925 -3.84991251354535 1.38367021537555 -3.50842138824518 12.2212039333179 28.5958896923998 0.453654907030785 -3.8322006518533 6.40686293882231 14.5007959449047 16.5903274998013 -0.860061415176247 -11.539829077024 4.95601584767167 3.31630171214339 8.99820733722926 3.74018714795075 6.04932889060777 -5.78790009145094 4.81685799354241 1.67908780120897 -1.92645377486351 1.39093096269179 -0.0218901274744167 0.417695490204469
"6" 21.5621148562004 -3.2742792528287 0.806788557414452 -5.39833495017102 14.6389504787333 29.1029223746152 -2.56629035171664 -6.90724133930572 8.69826548559601 15.3509381039113 20.9014044571485 -1.22446977901788 -16.869681715239 1.8671525835733 7.86916317278161 8.39748606158375 6.90394393844177 4.76564484465112 -6.71266473610081 5.25471292457865 0.0992914581881912 -1.56455146565116 1.94486625802836 -0.330301739475426 0.201198457513738
"7" 23.313091087058 -1.17813456686851 -0.838800304267136 -7.98156936464299 15.5673515191973 31.0339698711607 -2.66267123811472 -6.29991951596727 6.03775138092037 11.5663555108462 27.0815491132849 -0.80032734291032 -19.4809894356993 0.499072650914399 8.59633782663741 11.3814163697153 3.74236351623237 5.64466842823845 -6.61200934399902 4.85530079040246 1.15177052141918 -3.02782126518565 3.36944030691417 -0.725159606443792 -0.042348331782552
"8" 24.9562717936293 -1.01468031010991 -0.979372429406229 -9.24368265861847 17.3722956881276 31.8350331905622 -2.41037632518843 -5.70622963002071 4.35530780002461 12.5244604289416 29.4547185011948 -2.59662039678112 -20.5486815430997 0.646110293086296 9.14237454800249 14.2234241653047 0.581798430448742 5.61008335940412 -5.79637878189155 4.74333787028002 -0.11823255999305 -0.115590445604506 1.3847663193549 -0.1655178566993 0.187141308088719
"9" 25.4375804778517 -1.95387217368251 -1.41351321304448 -9.39225682258869 20.4666396898036 31.4328497680794 -6.14569121981776 -8.11797118219136 5.6709624164092 16.0806949271016 32.4958349438518 -5.68040386507995 -24.3332079505127 -0.985902921146587 13.3517900868121 19.1680008520143 -4.46219785048904 4.34666826206109 -5.93727935395606 5.86871224051041 2.1562036066704 -1.89514998827886 0.546073043336773 0.910854307429354 -0.0856926844944395
"10" 29.7119276597236 -3.05851721806119 -4.20654171692605 -7.15016549310395 20.6672711509594 32.5746616894771 -5.94487536340469 -9.12054650244962 2.32778260326651 17.3043015440413 34.0308060604731 -3.53929539202216 -24.9391927887409 -3.11385245048433 10.8668421888274 19.0526315025794 0.363446367873719 5.0626632843052 -9.61301722943822 6.75714044816197 2.82227052541037 -3.29512491149599 1.6403365905546 0.390280830627571 0.212445668466026
