"mu_ksi[1]" "mu_ksi[2]" "mu_ksi[3]" "mu_ksi[4]"
"1" 18.0917013519375 5.01291087587549 -4.16579038124439 5.80750353347805
"2" 13.0016925414434 21.5320742062372 -12.372742983409 -2.83887114778079
"3" 13.5335413704307 28.2139018434302 -13.2890758346264 -2.19612336785433
"4" 12.5765501237984 31.2683033526462 -9.61875720186641 -2.15076282433745
"5" 10.9841012606182 33.9719318103919 -9.10532098588308 -1.68144149775476
"6" 10.7007327405638 34.612813665465 -8.09816821549474 -2.50700441419568
"7" 10.6753618279799 35.1791300079407 -10.0628529798459 -1.817658291978
"8" 10.384154137434 36.9273366531811 -10.8714060327828 -2.44347424544678
"9" 10.0267721636156 37.4281279169618 -11.804907718526 -2.18629423870015
"10" 9.65176624414688 38.0132557193979 -12.1785504204868 -5.47045667200273
"11" 10.0650002294483 38.8414017665852 -12.3775699446267 -3.33583773892115
"12" 9.55651594647174 39.2574619956352 -15.5392940612438 -3.19934536656673
"13" 9.85540087166078 39.413092675686 -15.3756769506077 -3.22585195230763
"14" 9.81864541695226 39.3891889111775 -13.2342870109771 -2.00473596005807
"15" 9.64431216106622 40.2917148349749 -15.7085438168843 -1.74013707725231
"16" 10.3019305038972 41.430774006918 -16.2194735679682 -1.51478257424285
"17" 10.092864317021 39.0740966364676 -14.9021461292429 -2.41444441437834
"18" 9.35812899415971 40.4079765898833 -16.3957679958054 -4.32648300832664
"19" 9.92673485864785 40.2545216495335 -14.6487116519201 -2.37928444436399
"20" 10.161039760521 39.8960104259067 -13.5320432577451 -1.97115804114388
"21" 10.4698433287191 39.6032226082717 -14.159930111866 -2.27730549153754
"22" 9.33343484680166 39.5298751930263 -16.1430269269325 -0.524232124624218
"23" 9.03071770311396 40.24599690161 -15.2735398942089 -3.98220364533226
"24" 9.67126272876455 40.618032843926 -17.2508350900901 -0.607294034720377
"25" 9.75683551792952 40.3359946529736 -17.8257289069342 -0.0841004416867866
"26" 10.1610986690619 39.8769248204954 -17.5825770824699 -1.00998425749829
"27" 9.86383455602158 39.467696722951 -17.921310760524 4.52073730880696
"28" 9.60155488207625 40.7146748338386 -18.5720538119795 4.90266556183237
"29" 9.75285633254503 39.84157919991 -18.8427252114058 4.28813775210168
"30" 10.0203184309404 40.3574909125284 -19.5188630989254 2.52106392967362
"31" 10.2729530366733 40.9286381248909 -18.7957685315309 3.80055634222422
"32" 9.14127662188649 42.0273095341303 -18.5271758649173 2.80481030795674
"33" 9.19015283535059 43.7305182084091 -20.7795202906442 3.83539529254608
"34" 9.32461357365762 43.1131923737712 -21.8303236222665 3.27116953504971
"35" 9.79150042531156 42.8038626723463 -21.7486170551515 4.56251207592456
"36" 9.90944906154804 40.6950826880126 -21.5859772549863 5.94215330874228
"37" 9.8413265597688 41.3512186276793 -22.1950895143332 6.35631231835706
"38" 9.78968412904694 42.024020711639 -21.7139721830357 5.46942126870056
"39" 9.73756429412591 41.6434618851705 -22.1896589255092 3.89570447658825
"40" 9.63345621363068 43.46956595761 -21.4223157542026 3.78409250425056
"41" 9.67791155657669 42.3326230328963 -20.2839495312961 3.01430652908199
"42" 9.87059468380853 41.3264635547435 -20.71350590568 4.54779725453413
"43" 9.73107661403096 41.5423757539127 -21.6624939511564 5.1960276008595
"44" 10.2379813883995 40.7520091935246 -19.1637394297017 6.40290370111721
"45" 9.49677948698435 42.56931030124 -22.9371978797875 4.76074968369306
"46" 9.37112818141623 43.8452767390385 -21.9304900171794 2.82919713476428
"47" 9.63471435344876 42.7911383724078 -19.9994707371317 5.80948375573513
"48" 9.79157261009667 41.7686453896944 -22.2454313087955 3.63987980934431
"49" 10.1054555562609 43.4522697789137 -21.8089322662531 7.12138327312966
"50" 10.1254553279745 43.6471921665074 -22.7498994202093 5.97572351617973
