"mu_xi_boys[1]" "mu_xi_boys[2]" "mu_xi_boys[3]" "mu_xi_boys[4]" "mu_xi_boys[5]" "mu_xi_boys[6]" "mu_xi_boys[7]" "mu_xi_boys[8]" "mu_xi_boys[9]" "mu_xi_boys[10]" "mu_xi_boys[11]" "mu_xi_boys[12]" "mu_xi_boys[13]" "mu_xi_boys[14]" "mu_xi_boys[15]" "mu_xi_boys[16]" "mu_xi_boys[17]"
"1" -3.99228451961646 4.94595026465642 5.95228134363176 -1.59106770410025 -0.0688299429585568 -1.10466206994701 7.8734467269253 0.875413227230845 0.910926650174358 0.154452986026795 -1.17389418821369 0.855871238001354 2.44612631291434 -3.40703374282046 8.48484402535425 -2.64937925118762 4.76985749825315
"2" -1.90222419236004 -0.02301495270825 10.0479179839313 5.82208193349912 11.313482821281 2.44336369820702 13.2116207285337 7.42490582045631 -5.49851788883981 4.16200079018351 -1.23462482911934 5.52434503060401 6.9572949076005 1.23476507710936 6.11852490338205 -2.48306451273442 0.89167888767622
"3" 3.37695979116881 -2.09209590453653 8.78903875637939 7.19423978874986 9.81985579181341 4.2063710921053 14.3837722003654 9.05990903858269 -7.52788194668408 0.82252669532536 -0.321137728019431 3.69580536830854 14.7737407403925 -1.73416888677727 1.73500835359656 0.477627510465838 0.195519053878596
"4" 4.6502617746068 -3.63609509719955 8.64424120370527 9.24099409929328 10.4767908508814 1.71285124704569 13.0565107491753 9.98774652416381 -4.91430965372458 -0.0339343759642762 -1.33330299994181 3.64665851453708 18.8342137007013 -5.09269096172634 1.16111739720796 0.321494340928506 0.279697442710053
"5" 5.07955323527029 -6.06986008788924 11.0462413149938 10.0269205600145 10.5385185132499 -0.267275099443098 12.8715691791836 11.9094128459491 -4.40531706981781 -0.853352060181298 -2.85247226115747 3.10504985200742 18.775987537665 -4.94586190417765 1.95462212571684 1.23407434221049 0.32167092917859
"6" 8.24452270651383 -6.8057816429473 7.75979317396153 12.7105477236046 12.4462640557395 -0.669184933122017 10.5334983519225 11.0367292346592 -2.6007367756801 -0.0399585840635106 -4.01136747996458 3.18964196916075 18.9805640057696 -3.3362313449734 1.8718041560926 0.046813732484995 0.436531687712339
"7" 10.0693254265789 -8.27697468071491 7.17027056491981 12.9507180346101 15.3648579742805 -2.6872808819873 10.1355553601471 10.8431271323787 0.468228919263511 -1.46736215567039 -4.79706094255642 3.99968229129502 18.1213063835812 -5.32051757611571 3.51668189429792 0.182828106867515 0.433330087904621
"8" 10.9707910468216 -9.21886491642591 6.3417669092034 15.501030350861 13.9985044408316 -2.64880192773757 7.72726423871938 11.5622041171415 1.30984584121245 1.01771147079607 -9.78127713427452 6.21518779641835 18.5117001364049 -3.82346091403159 2.02097226133433 0.771839048781645 0.14383693868841
"9" 15.0903073422296 -10.2104242114105 3.33420770788091 16.7242436367743 17.2037060788106 -7.69346958375047 11.52494941868 11.6777489125414 -0.052464738398069 0.0833796691518139 -7.59635201574149 4.66428203592487 20.5503719843413 -6.70399224134833 4.25937625268211 -0.179758352806617 0.486332596204219
"10" 16.5349436433822 -12.5583383633018 5.58213551778251 16.9268243330022 15.5107033440033 -10.3041493356471 12.699469976915 15.105349799823 -0.387431886611622 -2.49124410804985 -6.00688282651947 1.65430148546351 24.8028001044282 -9.48084090698474 4.96756688891642 0.176634317895516 0.461427501371029
