"mu_xi_girls[1]" "mu_xi_girls[2]" "mu_xi_girls[3]" "mu_xi_girls[4]" "mu_xi_girls[5]" "mu_xi_girls[6]" "mu_xi_girls[7]" "mu_xi_girls[8]" "mu_xi_girls[9]" "mu_xi_girls[10]" "mu_xi_girls[11]" "mu_xi_girls[12]" "mu_xi_girls[13]"
"1" 2.178458458372 5.81188771016946 -1.87797562637874 2.84313187367358 2.7244070345261 1.32495591050255 -0.838886848817449 0.590188164536982 -0.189103525666161 1.41727705824079 3.0741672070549 1.47039968317518 1.2302050036896
"2" 1.59191656191467 2.03563215695025 4.09282163094721 17.3940815172179 11.9849934655987 -2.05862969586567 -1.68228156654953 7.36270777816504 3.30838065619062 2.68906333208428 1.33055306655824 -2.06263590920182 0.418452712831108
"3" 1.91686553403361 2.64870647589664 2.64758061163556 20.0229087777402 10.4343417609126 -3.36538120573958 -0.319970095649334 6.85001277408541 4.84309105450172 1.8688377550364 0.448438252704613 -0.942691509537712 0.312451428284767
"4" 4.76807831878126 0.158999113433932 2.36298179951746 21.2624389898041 12.273370451959 -4.31885017150578 -1.72596022675575 5.75615860852981 6.85146066998419 2.87391672966386 -2.20271834726679 0.36001848110137 0.46324463515971
"5" 6.36407423728952 -2.99659316823604 4.24149557464311 20.2651292669591 11.4474258217413 -3.59619825436111 -2.20330662297583 5.20248141212552 8.24697609509597 3.02389993687884 -3.31480247426748 1.13488207666287 0.259721509393647
"6" 8.09564085746885 -4.8351954001956 5.31540405117182 20.9638302765427 10.3216933292696 -2.54110636647738 -2.96520600451218 5.36849463115766 7.96145868983868 3.09257731862449 -4.42104172946391 2.38556344652703 0.159447443569959
"7" 8.776750609822 -6.04575503850779 6.4045775885918 23.0233059194626 7.31206827563978 -1.49030661828375 -1.5940554602807 4.40853232679499 8.69877703698709 4.11133629370987 -5.13645683235929 2.27434200447244 0.00425191550909486
"8" 8.30920171715797 -6.07685065147254 7.33589763621962 22.8592639830367 5.8503024044698 -0.871707775339645 -0.939568137049773 3.73689048410713 8.18861114919064 4.06869372320566 -4.70109919611649 1.70937823667329 0.241180451142461
"9" 8.37861771357558 -5.7114843423524 7.16494146303636 21.4906085704949 7.2463070171424 -0.773403202740371 -1.12546146486171 3.32299805904815 7.24086506294584 5.46571114631242 -4.6415049728357 1.26013895642013 0.242529122085033
"10" 10.1010260402537 -8.51204695829813 8.00328582634551 23.7918550255723 5.62513499943106 -1.04321116042512 -2.52636883366704 6.71573942789983 6.72576816497912 3.37475009340099 -4.18713640370196 1.44514822749582 0.116257484590199
