"mu_xi_boys[1]" "mu_xi_boys[2]" "mu_xi_boys[3]" "mu_xi_boys[4]" "mu_xi_boys[5]" "mu_xi_boys[6]" "mu_xi_boys[7]" "mu_xi_boys[8]" "mu_xi_boys[9]" "mu_xi_boys[10]" "mu_xi_boys[11]" "mu_xi_boys[12]" "mu_xi_boys[13]" "mu_xi_boys[14]"
"1" -1.87119002242681 1.33087202377392 1.15932665540083 -0.630065515008606 -1.32294527725767 0.882067640608401 0.864734642128041 2.024767652816 1.18043318462239 0.233707130225722 -2.22325836169 -0.529909895294498 -1.28453468110239 0.52160649629808
"2" -4.63298939773528 6.59040510231652 6.31657455582181 11.5870668034335 9.71724638377365 3.45311876955987 6.42133010389243 -0.373685597578174 -1.9214835101443 1.19476946769855 14.5853930547718 -0.674100894123585 -0.57759916271598 0.60540501243592
"3" -1.3713071832712 4.02043867354996 4.96222397763913 14.350027498763 8.74794113502953 4.35277054523738 4.96213988030088 -0.371149954038328 -2.32288777822757 2.92565095966613 14.297168458866 -2.464185205011 1.26722739802268 0.34567007849082
"4" 1.24170580234401 2.14893671658579 2.96288545913171 17.547671122261 9.75272648633383 3.19640183745291 3.68482316974512 1.61273569679874 -1.86724259507638 1.69831504029446 13.9980983489231 -2.26322618447451 0.380329357520213 0.532528277373839
"5" 1.80001052943063 2.44045073907081 2.70312820254944 16.0079392461506 10.1720778528891 5.75735115913478 3.8454746786344 -2.30692067675191 -0.532653085696018 3.17447043571865 15.4311850272679 -3.77154510427086 1.85160862724612 0.160373056638344
"6" 4.7377775135601 -0.744455864732521 2.76014076110947 18.1160880271971 9.80069422639373 3.26248035432235 3.81821321540364 1.3762265741305 -2.28932690245611 -1.00767511025406 18.7890567883897 -4.34619926643171 0.973285989668947 0.565704993532604
"7" 6.1846292460899 -1.9196814682358 1.47705025396708 21.9525773808547 8.32482357771931 1.50603538825581 4.66937812829279 2.88936272055348 -4.48584944373737 -0.521046177088732 21.9714962177203 -7.35555951188186 1.67952218132513 0.673168787741122
"8" 7.23857961467486 -3.92359002461697 3.62291067315445 21.1294756746532 8.7339303542685 -0.0846471351087066 6.4362882945597 3.9357515681966 -6.04204510660951 -0.3752127966938 21.9306363020752 -6.36832251667005 1.24407672730407 0.332730361809884
"9" 5.89062194095998 -4.08731860085439 4.74518334748148 22.1354484055358 4.61252634555499 0.0120950072203125 9.24593634027975 4.02698319073305 -8.17815859405344 -1.08028710593922 24.3644356773404 -8.71738710610919 2.10104262537681 0.590135747351411
"10" 7.3917543830856 -4.86278153229324 6.9777462909062 20.0738831608101 3.65584845700012 0.829033001155897 11.1800256702222 3.09720093254268 -10.5798559617555 -1.4190965269432 27.9434457217195 -10.2068826139791 2.14589016374662 0.54116606287949
"11" 6.73863527802481 -4.25092234551543 4.87330392262228 21.6688716676908 4.79650124735395 0.91249823058386 8.7846522448081 4.36613745680457 -8.43980362669973 -1.92586303556091 24.5463495785205 -8.37100483792508 1.98859599686194 0.441147722913314
"12" 7.3751603614208 -4.48384234462436 4.19821090231993 23.1484176814037 3.7107534400382 1.46047758986253 8.29024338576423 5.27425567750549 -8.0812226474606 -2.62153322849099 24.8769001702413 -8.43820670509235 2.32236015111652 0.306559035074188
