"mu_xi_boys[1]" "mu_xi_boys[2]" "mu_xi_boys[3]" "mu_xi_boys[4]" "mu_xi_boys[5]" "mu_xi_boys[6]" "mu_xi_boys[7]" "mu_xi_boys[8]" "mu_xi_boys[9]" "mu_xi_boys[10]" "mu_xi_boys[11]" "mu_xi_boys[12]" "mu_xi_boys[13]" "mu_xi_boys[14]" "mu_xi_boys[15]" "mu_xi_boys[16]" "mu_xi_boys[17]" "mu_xi_boys[18]" "mu_xi_boys[19]" "mu_xi_boys[20]" "mu_xi_boys[21]" "mu_xi_boys[22]" "mu_xi_boys[23]" "mu_xi_boys[24]" "mu_xi_boys[25]" "mu_xi_boys[26]" "mu_xi_boys[27]"
"1" 1.17973476051389 -0.760156616898186 0.96547436384737 -0.302431064573399 0.477733101577118 -2.53347063100026 0.875408285435128 2.53311962661334 -0.98629993010901 -0.780800095630115 -0.674388085141151 -2.70284289865114 -0.426279920323497 0.217904814253951 0.439525287728655 -1.65727958677692 1.22571195822761 0.899855509072551 0.465605834508013 2.20212346107396 0.688900999526098 -0.716955193666676 -2.1524734570455 -0.529197126716325 1.21843680455869 0.802232735950929 -1.50063019293633
"2" 6.14853502166774 -1.35158543234746 5.30576478027229 1.28355510927641 7.39799548694333 6.27891734281122 12.4553664012627 12.6210060506117 3.62482937462154 9.48480903407386 2.75494972897642 5.73629565562332 8.72568247511668 -1.43378087402234 5.97542634430286 -1.38341409268481 -0.506701248863444 1.36223618625934 6.00534467690749 2.89221398213865 8.84057453924731 4.95823671458686 -1.15102851589181 0.462315216403948 2.44182069499387 0.0461006846141511 0.344327989628614
"3" 10.8246388154142 0.801591450857878 1.14648754901177 -1.63511849214679 12.2789826727936 6.9943604606867 15.8114941477925 10.4842489399868 -4.56460262503411 11.1613057245242 3.70461586064024 8.05187914914864 12.5100683169473 -4.19480478027129 3.51707211400601 -1.51624303387823 -2.43536397709287 5.34978103016954 6.50388806815252 2.14558734776774 6.93405510805822 7.62013890703233 -1.56933477435338 1.19066757129808 1.18911643512552 0.00970911567001967 0.407359386027149
"4" 15.3732563562956 -0.728756738675308 2.08879077396432 -5.16481449454903 14.1257623538067 9.40680124273148 18.0824019414021 7.40789752893775 -7.05943568511315 11.9221767010499 5.07065309249479 10.8530289316661 12.2329817908588 -5.49927048856165 2.10539083704328 -1.40679042770719 -2.24447698412859 4.84291387693944 6.58488123359411 2.51817380347082 6.27649444613664 11.082245966951 -5.46377922047975 2.10803087249269 2.22457973434617 -0.0752336982800551 0.629793695240499
"5" 18.598132470253 1.5621118832759 -1.82579328953628 -6.49656049811602 17.3034431023004 9.42823726364685 20.1867516387251 6.1207066459656 -9.59117035273886 11.0479987499645 6.66532461213608 12.9557937411707 13.6716112017101 -9.10735554718858 3.61018929812161 -1.93581787805654 -0.546589467370078 5.77054855448749 4.13628650314881 3.35652527234433 5.92315233966997 10.4494655223269 -5.22277816874253 1.33434013878076 2.90916968035873 -0.714426133549225 0.347087921698853
"6" 21.256673335819 3.08364425494606 -4.30684032743871 -8.58785423991044 20.2489417482323 11.9437413737424 21.0165704078904 0.885543917238016 -12.9662698109704 13.7158565055206 9.83191157540243 14.2809765002992 14.5656059617788 -17.2083262628403 5.5865845353395 -1.56969653086463 2.81076218330244 6.42343847630241 1.02727081860395 3.3737334410312 6.04676394579936 10.1807530917096 -4.60976605060633 1.9302270037434 1.43188099526297 0.0774328552837684 0.660946869074512
"7" 24.0248635652008 3.14333370080973 -5.86391067563537 -7.56604269346262 19.7100871461794 14.6751366488868 19.151446069583 -0.134278887419414 -13.0061185899227 13.2797509495636 14.2071892115545 14.4338003783407 13.9976818080044 -21.0547573579108 6.51387426907486 0.802402356762353 4.2884553933049 3.33823477972929 3.64655260261019 3.08319378982162 4.21343451034766 11.0762722695273 -3.6486389995962 1.00024527067868 2.83349223116741 -1.30672278986777 0.689847864528787
"8" 26.7158997326497 5.67963404096949 -11.3228864964035 -7.04071508460965 21.5964384456104 15.4302315846196 18.9490633065379 -0.176927479318775 -18.0341489072549 17.2286538581687 12.2033825520848 17.809498708448 14.11985738261 -25.317918828365 7.85469869943644 -1.21209754425728 5.64287769155356 4.21904022180877 5.54629912134442 -0.279776878326761 3.63671557323212 12.9514109224776 -5.6867267216033 5.98326383007852 -1.08282541748978 1.24881613907248 0.38524657405199
"9" 27.0764952567045 9.35601333781688 -16.3754382903566 -4.23628007592645 22.5760229889164 15.0312067752209 16.8575910386219 -2.23116556242526 -15.4798234714976 16.014827245548 13.5359930716852 17.9507464711355 11.9780629904035 -26.3588987071726 10.6911378941513 -2.34035403947021 4.98596987956154 4.97687693376354 5.36672472431127 -1.28863484908443 6.01195516061915 12.0415724473355 -5.90671846334655 5.69689014200647 -3.10888882156853 1.95798138846567 0.494553493252913
"10" 31.1575543420511 7.73315856929694 -15.9173974168028 -5.22830955626527 22.2795679694606 15.5002995186743 17.188604330488 -2.00917267841819 -14.1853383399141 14.5830955980209 13.2995422368362 19.378323501109 11.7742779272149 -25.6068161539345 9.9486285136476 -4.66339475461769 7.85323562179822 5.76617659262264 2.2062899065466 -1.41374774654763 7.89420566778903 12.7900766601151 -5.96333754552705 5.63592102269706 -2.64324252960365 1.50866768453353 0.538824645877866
