"mu_xi_boys[1]" "mu_xi_boys[2]" "mu_xi_boys[3]" "mu_xi_boys[4]" "mu_xi_boys[5]" "mu_xi_boys[6]" "mu_xi_boys[7]" "mu_xi_boys[8]"
"1" 2.07837088139351 0.365155086989819 1.6913276019546 1.64501613022361 1.51699387283557 0.108760517683474 0.66652058536716 -1.20380990897837
"2" 0.811957634135423 6.95081447641253 10.8518257720064 6.39523989734796 -0.691698496710874 2.63608951792177 4.9148700691705 -0.0851028801202108
"3" -2.41657059203533 8.87829246458792 15.5394599483097 2.01358534201008 -5.68905337207938 8.56671775738112 3.580516988423 -0.628564214677236
"4" -3.17583945078349 8.84776613384126 18.0706469827794 -0.913579520965253 -6.99768622915685 13.1784232087916 0.64450536146214 0.215235970445611
"5" -2.77825084831501 8.33230288039911 18.4392441132761 0.362514115199511 -8.62316822537198 14.4696245004201 0.222848236754932 0.0695968748363329
"6" -2.52938684471874 8.25998732323076 19.4226484683363 -0.857922288096765 -8.40654836859044 14.496190925147 0.101163872640409 0.055734796201747
"7" -1.86810300429893 6.33849918481196 20.5449347882298 -1.24117234015898 -8.84568340541063 15.5488519020779 -0.476778405321455 0.247118948121949
"8" -0.948005012582732 4.37390191552491 22.9830941249638 -2.05549175382498 -10.2909927936004 16.9848225243865 -1.02352501917393 0.443424119580169
"9" 0.487850674949512 1.94893681836774 26.1440669114772 -3.64857991308962 -10.7877163597229 19.0151132023516 -2.42767338037135 0.43321101918766
"10" 1.56167761004313 -0.680904458212915 28.7794077282346 -4.15131394610647 -12.3400503602134 20.4445692762653 -3.17442869150651 0.696128102308773
"11" 1.98599019668213 -1.44233452742306 28.8830815311804 -4.31920366742614 -11.6173647929878 18.4658842282911 -1.0607308747718 0.051393827031629
"12" 1.20231734268797 0.125093428573779 28.2508556828643 -4.72253119573545 -11.269070430732 19.6690327383934 -2.35299671768485 0.447176221843802
"13" 0.94405809035197 -0.102492690762409 27.258552107263 -1.80688153224641 -12.6054203360684 18.0725643166886 -1.06097031199395 0.233692418792239
"14" 0.598008085322697 0.429726649909712 27.6280409270983 -2.49581292264285 -13.8932688527536 20.3412890525448 -2.14715987002081 0.339463364848538
"15" 2.67863800958821 -3.71010364821494 31.6092353826251 -3.58262057472758 -15.1255586641463 23.1509461897029 -4.18386402380816 0.718665181810378
"16" 2.61846731181296 -2.94970834778098 31.4567704575924 -5.3709085838322 -13.8264693375054 22.785108243267 -3.98341284452155 0.538532303974072
"17" 3.35286579000334 -4.85952108879597 33.6672569358591 -5.97218167693456 -13.8844975860821 22.2911585294618 -3.79304851956605 0.722130426998858
"18" 3.91569055839485 -6.50147188451034 34.5500930149973 -5.76434089882111 -15.531989866778 23.8433237863336 -3.85443613877882 0.427919304364303
"19" 3.94490080279399 -6.55930129536707 34.9520990196549 -5.8702829936196 -14.2904462779603 22.6123497402522 -3.68051512226065 0.644699374276015
"20" 2.67413613569372 -3.65707714047177 33.2749915796347 -7.03673371562942 -12.1073083070282 21.6637704607934 -3.31554396060697 0.605261969180138
"21" 3.08971608338134 -4.48597895638182 34.238345853492 -8.62867930689846 -10.9082448725036 20.5099255881769 -2.81019576844424 0.371171514843233
