"mu_xi_girls[1]" "mu_xi_girls[2]" "mu_xi_girls[3]" "mu_xi_girls[4]" "mu_xi_girls[5]" "mu_xi_girls[6]" "mu_xi_girls[7]"
"1" -1.94917258855432 1.590788280046 -2.51355280590612 2.86803855803749 3.99622737716437 1.81419392516713 -0.347066473577689
"2" -0.463364684705479 11.5476326733856 6.54044265205016 4.49773899448844 1.41544915011028 1.30300444079222 0.00481850582004176
"3" -1.91857043918639 13.2212323765846 6.75584985010595 2.71295858419947 1.57090957169113 1.84016095520312 -0.147655169503814
"4" -3.83375427196381 15.9056584394518 7.34717803328456 -0.0618804612097909 3.91520262499893 0.777700669500076 -0.154119812332621
"5" -4.84880273218975 18.1875128006581 4.34247242811103 -0.672363268141631 6.66987974907619 -0.653691787256225 0.1816351637773
"6" -5.14822691324813 18.6597427086751 5.99540040856353 -3.06668268446416 8.61336373982633 -1.49623611229937 0.239848171749372
"7" -5.7625246700826 19.5506457239961 5.86539649780772 -3.46516949853848 9.50909350697291 -2.27617970819524 0.273808873335134
"8" -5.44990385108918 18.4835480683907 7.40244433670163 -5.33906981551087 10.22697996404 -2.06199713283147 0.353375365374606
"9" -5.85528765576955 19.3626680027071 6.59880053053591 -4.58023326514704 9.89189535395404 -2.14387149960661 0.346178208212123
"10" -5.19759420510623 18.6910974747234 6.85996915467374 -4.96833754892006 10.0260124549403 -2.03994069295802 0.0637113911512169
"11" -5.15761037664245 17.7876313634281 8.25251016999351 -6.25212570182987 11.0666823941162 -2.32448387047481 0.377483684603419
"12" -4.93654348744134 18.0074991945872 7.91874419454067 -6.24168776249067 10.8287577266457 -2.17838990457121 0.503546053604939
"13" -5.28330553213433 18.2527448399364 7.91972622943454 -6.42496267159909 11.3428793152303 -2.68075720857171 0.423639429259026
"14" -5.32493564682665 18.3528480219393 8.01221126624644 -6.44892227985525 11.3379219089499 -2.34757234508892 0.468967264214768
"15" -4.82198128333048 17.7499837539632 8.55349365563778 -6.16323615307385 10.8861336483159 -2.89564342071049 0.457876845604199
"16" -5.00655597801562 17.5881090196222 9.63891977232694 -8.30758493653015 12.7625126408833 -3.25828914601749 0.386491270904407
"17" -4.54771882801872 15.7652265159986 12.126152085346 -9.96451073577788 12.7259515627224 -2.65074114370977 0.292107422767529
"18" -3.25670910883338 13.4705240443643 14.4239866148713 -11.5498216673152 12.9497676879023 -2.111616218377 0.0914821871050901
"19" -2.33242428570958 11.4997285555732 17.1719778987831 -12.3151415931405 13.2338387476394 -2.84176814589011 0.314497692383829
"20" -2.26990493200633 11.0632184146097 17.3418078497477 -13.3845690720927 14.7644844985607 -3.55503172195219 0.492482814724877
"21" -2.7664865129113 11.5449482690019 17.4012895548367 -14.4001151206677 14.7776172225728 -2.95580743710411 0.00398770073079648
"22" -2.23236509888599 11.5332810809334 16.6227880269804 -13.4004959653675 14.4051768548964 -2.91708953917407 0.317583891265461
"23" -2.87521392840453 12.2810792013654 16.9605786131203 -15.0178198315607 17.1303065624708 -4.83458666213444 0.465466439358744
