"mu_xi_girls[1]" "mu_xi_girls[2]" "mu_xi_girls[3]" "mu_xi_girls[4]" "mu_xi_girls[5]" "mu_xi_girls[6]" "mu_xi_girls[7]" "mu_xi_girls[8]" "mu_xi_girls[9]" "mu_xi_girls[10]" "mu_xi_girls[11]"
"1" 6.02678417456734 1.98508795215405 -1.66496927946314 -2.37161906551791 -0.182558156315484 7.40169919154061 4.0473870963602 -1.46731520124847 2.08352742096266 1.5468141110747 0.586801203531399
"2" 0.238074886531607 4.04025226609633 10.618744919558 9.49554113345872 2.70138633513011 5.08828184808497 3.9606394425903 -0.559468089020695 2.85318414525373 0.175998417812407 0.180896470186026
"3" -2.39564740858192 5.36287036760281 11.086468051292 13.8690635364743 0.436676317226122 0.547651848854858 5.16709717345138 1.8494724752452 4.38762032266771 -2.26967383830877 0.297686163714289
"4" -0.0370649194127468 1.64928588486251 13.359225194052 16.248640415362 -2.17964182695693 -1.33907574359816 6.94151248221508 4.11081118841377 1.21300839009665 -1.23190885235246 0.632051642272519
"5" 4.56199949281729 -3.84151551709968 15.2404279442587 18.4174899829245 -2.72653594135207 -3.30924036125101 7.89535031350153 6.44081382296107 -1.80641483786322 0.222306593035358 0.102042119449898
"6" 6.15189804806245 -7.01964822081739 17.4928449608162 17.2973124861219 -1.40300429986221 -4.07626981617275 8.49145458174279 7.01647405624232 -3.07282687838605 0.860011100692191 0.0992905846210724
"7" 7.46475576545636 -9.10119016649903 18.7413716783054 17.7675878429693 -2.55607461950017 -5.66778129142429 8.79023580968279 7.56325857279413 -3.4255694399392 1.34958382372996 0.126005243246011
"8" 8.31218901940554 -10.137056071446 20.1740056728653 17.1868090229113 -2.57137388149783 -5.62795513921571 9.60039299770025 8.45421206355013 -4.80621842974844 1.25961773174236 0.182508665049542
"9" 8.91845469645183 -11.0717064448119 21.7015621305604 16.2745574328757 -2.40459084571008 -5.45683590149435 9.05726460113168 9.00519717588615 -4.52453258338004 0.633466650798621 0.188841779951506
"10" 9.87516802386094 -12.1788117764681 21.6281698363269 17.8553451069207 -2.78175280194713 -6.78234424578274 10.9290304218019 7.59599476526526 -4.19628103720717 0.686474671984466 0.439381777576763
"11" 9.68221783237662 -13.3250424261102 21.7310792557295 18.2301055294214 -3.65714847642876 -8.09684110596987 11.6016550760344 7.88546167523886 -4.01713156978137 0.738271012455335 0.318611729051315
"12" 9.18811245719767 -11.6282001748847 21.0423558263116 18.0207735398535 -3.3770311332295 -5.60188807283449 10.3541276173737 6.40924667060537 -3.40477344556153 1.42731709124469 -0.00395878400314571
"13" 10.661897236126 -13.7674291012205 21.8172303344731 20.5156048453007 -6.22427739532652 -7.00280034458077 12.9342359575028 5.458520122075 -2.59872712863794 0.333060022543383 0.184139864804788
"14" 11.583778528547 -15.2285389192462 23.581372158053 19.9660037620182 -6.88292472622794 -6.74438326922399 14.0386767239452 5.30955446683379 -3.99941056254959 1.23341012846094 0.289988153207514
"15" 12.0648996061289 -16.511695160064 25.5067636025524 19.4940634870913 -7.90960151891197 -5.50939335820449 11.7528426359236 8.01672326615898 -5.49054678543702 1.73275300255377 -0.0231593400566012
"16" 13.6227241578532 -18.0826923923903 25.7251826952862 19.2958519939123 -8.10868610119096 -4.62718554966879 10.8679808782157 7.49266375964386 -5.03839546376848 1.94597821520449 0.0453982917490739
"17" 13.7483753212186 -18.4562166461363 26.1314501268994 19.0432410251404 -6.62359378768882 -6.21550715606376 12.5332875399838 8.15472687224426 -6.41887462678089 1.96518658147296 0.0857737968089871
"18" 13.8814608784463 -17.8999057349285 24.704360041327 20.0567170782516 -5.85938324505191 -7.28290523721325 12.4096777955153 8.50309909345343 -5.77443661075109 1.5652953984242 -0.0507232297511248
"19" 13.2144378226384 -17.5338648918625 25.0313607247528 19.1627235671576 -6.13912980762926 -7.16307962104193 13.0400348362556 7.41763144376021 -6.10515925558214 2.08083283788583 0.0639225183474986
"20" 13.8374793591208 -19.0583246040166 25.7294269730778 19.4640871042774 -6.63534069907293 -6.71273389447338 13.1153794973641 6.54699947316523 -4.27827559251985 1.46822784688858 -0.0565116059757179
"21" 14.1104978688581 -18.8417930031085 26.1974629842173 17.7899363229057 -4.83971637527658 -7.68188620428719 12.9012545823023 7.5598135977961 -5.89416203913928 2.3032762715605 0.0641591657542749
"22" 14.5585600688321 -19.8139362568502 28.0791220338763 16.1443991231211 -6.60563572128305 -5.8207781714974 12.9142075551091 6.79338348846111 -4.89052696921396 2.01736705663806 -0.175254035318133
"23" 12.9274849799969 -18.092185958202 26.5590110004473 17.2127811991161 -5.7151650815331 -5.76637631664451 13.5023610987053 5.20547093736504 -4.13704964798812 1.90979164850965 0.0170998176023122
"24" 12.0746065960947 -16.9576557374997 25.1999309851877 18.5999743782958 -5.57287129082299 -7.98873265328395 15.2037702778477 5.15405788076691 -5.16153207632217 2.23459711165154 -0.245794294667058
"25" 11.7547561761413 -15.3390140983901 23.2832503937963 19.9243688550058 -3.40908630124115 -12.1835440352148 16.7339126254637 5.70274928458205 -4.87393983584094 1.51230479919503 0.169561042914384
"26" 11.7142766044454 -14.9172719057324 22.2967114020973 19.5483632650841 -2.92797811927138 -12.8639799767324 18.8026875061875 4.24259897610085 -4.93207890912468 1.9817343632962 0.187076446618523
"27" 11.158410293799 -14.4081150916612 23.1894943473775 18.0216919986404 -3.37200549963825 -10.6449863795938 17.2315612647965 4.10819411713816 -3.78889311600595 0.996203491132828 0.253056613319152
"28" 10.433760043301 -14.1206987760745 23.4137988758522 18.1828934068749 -3.85787025918602 -9.62708789686257 16.2781461547626 4.83888949462783 -3.92148457151439 0.990238351484652 0.154354874738305
"29" 9.83374470428484 -13.5221146214919 23.2201345357509 18.5610204796317 -4.07761289943433 -10.0963868871001 16.7663837616189 4.68765618339951 -4.38131170901631 1.31660321886839 0.302713263281515
"30" 11.2749445261165 -14.3720531863791 21.9881082542752 20.2083419949309 -3.97976161227356 -11.1327540489253 16.8561574615137 4.64505724582243 -3.83311867087761 1.11773177708673 0.0994935265003481
"31" 12.5776616470322 -15.6777711809662 22.161766749393 20.8243378021672 -5.27577220995517 -9.77729382116751 16.4912264416643 4.44162634216026 -4.34119520356455 1.9411031650991 -0.152388703801391
"32" 12.0458477508731 -16.6399215710633 24.6250894723057 19.6442887367058 -5.59693264041367 -10.2072576955173 17.099552802152 4.94731830695936 -4.97556274731014 1.77634836926159 -0.02029971815685
