"mu_xi_girls[1]" "mu_xi_girls[2]" "mu_xi_girls[3]" "mu_xi_girls[4]" "mu_xi_girls[5]" "mu_xi_girls[6]"
"1" 5.27108214480184 1.42854362921793 0.753940171759508 -1.49900237585798 1.98818220199297 -1.92813821277977
"2" 0.772755031599411 9.78121440214093 8.79790707135213 -0.292364059882519 1.82639934640805 -0.129424913933125
"3" -1.80241790130032 14.9762206769438 4.8558439927091 0.568514375962841 1.9030453819652 0.0390327725775018
"4" -1.93519381373813 15.5252264687519 4.75568429552599 -0.350246764656058 2.94050211431124 -0.305651303361684
"5" -2.41794427216235 16.7828202808899 2.68551306526438 1.61778143729148 1.77013724069705 -0.0648157211742719
"6" -3.52812673567467 19.2028762134943 1.49540898567067 1.91560215196802 1.98484001414071 -0.229914335403466
"7" -3.16484854303198 18.8449967692415 0.956307654604953 2.235408899767 2.22011139038632 -0.209853229790723
"8" -4.3355346125437 20.8317328761342 -1.20337846258318 3.52105603711446 1.45785374794125 -0.288560514432918
"9" -4.12780686358676 20.9406151904837 -1.50179163523816 4.32651673486839 1.04070867205276 -0.0850908732663788
"10" -4.4003822811372 21.6639888053805 -2.87965982481563 5.66913167291279 0.46113102295142 -0.0753940046120276
"11" -4.53872271736612 22.0769385027221 -3.01963273676749 5.14758558396196 1.17190171702197 0.0649010331957891
"12" -5.22646072316064 24.7960243543034 -8.05287426848544 9.70596427646647 -0.826633816393959 -0.116280564990022
"13" -6.4264554770325 26.6595628622516 -10.8207544098061 12.60712629426 -2.76566635344344 0.337537503322698
"14" -6.19512447915358 26.6187075559419 -10.2664673482582 11.0960248374734 -1.12881046639763 0.0712930119823788
"15" -6.23673665337362 27.0507655223194 -10.1890438581742 10.9848659016456 -1.28664331752888 0.223627603225323
"16" -6.01747839875417 25.9356301566308 -9.35742404422108 9.40178525854942 -0.456936623305036 0.320606869491473
"17" -5.55007734338258 25.7640341581991 -9.46235856413087 10.3281160217332 -1.00062622568882 0.220469548113471
"18" -5.95020546147717 25.8442336072228 -9.13270335972963 10.0952868361893 -0.794890787227706 0.128950825196895
"19" -6.29352783232086 26.0660873426993 -8.82505811147465 9.7516905091035 -0.852436102921745 0.203088994640392
"20" -5.82534266179355 25.7494057684421 -8.67149795588099 9.15746726341118 -0.621109355656111 0.28193057509691
"21" -6.3259821280717 26.3495069095544 -9.35862855578314 10.9774736686431 -1.92236207003714 0.178485547284303
"22" -6.30917850236665 26.7875894494391 -9.94457667468337 11.287754518859 -1.85038415963167 0.173362565137809
"23" -5.48022203356406 25.7598761199683 -9.19909180014651 10.6269797003795 -1.65540537324714 0.393856595958058
"24" -6.31650567803349 26.6983644370995 -10.610289672819 11.0064066290196 -1.15797177698092 0.270756157454177
"25" -5.9465619808908 25.7117750680354 -9.1301920330256 9.63056238670169 -0.508415073073027 0.0860376344697998
"26" -6.79372660440599 27.5663108218225 -10.2578534190737 10.6866110326359 -1.38520780396608 0.20557565009133
"27" -6.76560701479989 27.9786574777242 -11.590509580273 11.7590007573211 -1.46789822015015 0.271741021706821
"28" -6.29797602346928 26.6276775428341 -10.4213556926846 11.2553614434346 -1.45487304683467 0.217822781462303
"29" -6.86289857085849 27.6957972459493 -10.9823948691616 10.9971573039673 -1.15706382046055 0.171613928196335
