"mu_xi_girls[1]" "mu_xi_girls[2]" "mu_xi_girls[3]" "mu_xi_girls[4]" "mu_xi_girls[5]" "mu_xi_girls[6]" "mu_xi_girls[7]" "mu_xi_girls[8]" "mu_xi_girls[9]" "mu_xi_girls[10]" "mu_xi_girls[11]" "mu_xi_girls[12]" "mu_xi_girls[13]" "mu_xi_girls[14]" "mu_xi_girls[15]" "mu_xi_girls[16]" "mu_xi_girls[17]" "mu_xi_girls[18]"
"1" 0.29998356378339 0.992233840850462 1.21693519972393 1.34515089827164 1.34482274117626 -0.400932564034785 1.19903021144873 -0.121920761211124 0.185706281336105 -0.687712897363403 -0.533029513685317 0.155563996427382 -0.954337410746711 -0.138052677704364 -0.496979409032056 -1.1789902299908 0.684750077340584 0.238463187472967
"2" 1.01516146752661 2.93424361668299 1.39359402609658 8.84783901797366 13.6008819629491 11.2332901079517 6.75968887103812 -0.450664247202216 2.02694746408051 4.29566818788165 2.24120387491148 4.6122961204584 -0.332614398494339 11.004277646239 -4.42156837470643 -3.62953079092606 2.43785375721847 0.265445241646103
"3" 3.93539800415627 2.87902447652254 -0.243713620881565 9.2463019087062 13.4254568683155 11.9936427564773 7.17145070882919 2.47204021810894 -0.784133989625958 3.00658694255668 2.95537657250391 6.03699352771536 0.458123755558287 9.46756740129165 -4.95148490893328 -1.59138261176049 2.38332150180937 0.0586336802956795
"4" 3.93124905195201 1.47864779398255 0.855577845178555 8.82344538859644 14.5968339438993 10.1216733534855 9.08429569524221 2.25192060293351 -3.45831220653345 4.95995020089869 2.83452241387427 7.42174034997301 -1.97003279730038 9.21949762615045 -5.04419769448 0.638854184790082 1.14248300478462 -0.0487761200391911
"5" 5.31589510784661 1.73786837815999 -0.702245466552182 9.96800868377295 15.3860059969089 7.87031285604284 8.12002649311548 5.38987811770329 -3.68868334976794 4.46836086062932 1.7546857855775 8.18734585144326 -0.997166407063536 8.52109478537239 -5.32705160932471 0.108242471065392 1.17810216838027 0.00635838410315014
"6" 9.55902358175774 -1.16248614522593 -1.47254055627561 12.1637486307858 13.726143466616 10.3917059557084 7.40945767238073 4.84107893242571 -4.95697046305881 4.70816393058117 3.40289017475153 8.44268972513902 -2.0516288229942 9.60023229462707 -7.18142456391476 1.65064582709121 0.905359638658146 0.187223602955818
"7" 11.8283475531143 -3.79625715709364 -0.307606976104204 12.3959753429751 14.0532158286932 9.54916460154756 4.33671988447917 8.32514748481014 -3.086603535922 2.48467757893369 1.93705733936522 9.91994469589261 -1.59043742036027 9.30495938813123 -7.53015950768855 2.88613188342323 0.0764985585400607 -0.160196530404642
"8" 11.5751360672415 -4.14544285262054 -0.380659251337137 14.642381772313 12.6779085698441 8.8035208927337 3.99473204858822 9.41810220030396 -0.727009321173242 -0.9502737878816 1.86606312889419 10.8138366216425 0.228686521295763 8.66786883586613 -9.15993259303666 2.88859157165073 0.0693461457223712 0.170872530992171
"9" 13.8655327212207 -5.03151432342152 -1.38070500007655 15.6719960393563 12.8905384981597 7.56587103075726 3.30565852022512 11.1495261246796 -0.604045964250398 -1.87634832632569 1.95416156967452 10.4256138558761 -0.811862023058552 9.06287497537036 -9.45465366384389 5.60389366150718 -0.949782711330008 0.100125615121553
"10" 14.6310601911215 -4.96446875498074 -2.14176533836713 15.7284059709663 12.7167555793905 7.70267415993681 2.36034490521861 11.2153186104842 1.32143562617865 -4.1649103780415 1.4091965430259 11.2327252175829 -0.0797455457384948 8.95963044654107 -10.0113119869735 5.32821504493893 -0.47479564177913 0.516841794584837
