"mu_xi_boys[1]" "mu_xi_boys[2]" "mu_xi_boys[3]" "mu_xi_boys[4]" "mu_xi_boys[5]" "mu_xi_boys[6]" "mu_xi_boys[7]" "mu_xi_boys[8]" "mu_xi_boys[9]" "mu_xi_boys[10]" "mu_xi_boys[11]" "mu_xi_boys[12]" "mu_xi_boys[13]" "mu_xi_boys[14]" "mu_xi_boys[15]" "mu_xi_boys[16]" "mu_xi_boys[17]" "mu_xi_boys[18]"
"1" -0.603668705758295 3.02247075421874 -0.809038482971589 0.346697050881966 1.14298817126276 0.584187314589404 1.34578975714449 1.12248926234332 -0.0875537601745264 -0.399133048186869 0.108319592550448 -0.107693853322637 -0.248965492675683 -1.01117215977988 -2.37694928791686 1.00515017605022 2.59267721293471 0.376268582856341
"2" 1.15421355771045 3.08077939913392 2.17833203111167 6.59327943755554 12.4976388590093 11.1672341189208 6.13454784588269 5.28370291934376 0.672631690133743 3.10562388708121 1.46659941768138 0.816494437674372 -0.293780833391223 13.4055239349564 3.84881601770323 -2.5396321371829 1.49289903132814 0.453077504507467
"3" 2.91446960875084 1.42321629121052 2.20516712345881 8.51637928731044 11.6177168397025 10.926917227195 3.89424851035289 6.15641027291909 2.54264264170211 2.45501052052711 1.57786420861487 0.294630984419447 -1.66617578446592 15.7041870355473 1.84836143715239 -2.85717094563326 1.68389162229255 0.198638397029171
"4" 4.14122432843313 0.670217332038793 1.02698414836633 12.357365840076 10.8593197396275 8.02233793944194 6.19219646007715 7.11416369607518 2.98503965165886 1.261750512326 0.431924747137284 0.820937492391497 -2.47541025748256 18.655556018859 2.69014398333835 -5.02980476720203 3.11679341719623 0.366700520782828
"5" 5.42157288001574 0.0427851214055274 -1.2078321099277 15.2382665866743 13.6860960938042 3.65361927314544 3.66904531391906 8.63917993704327 4.94380833249463 3.34612334853985 -2.51740712312087 1.4848498503045 -4.74745680447667 21.1381346415245 0.885726673643563 -4.33677536928475 2.59103795507747 0.284345400341677
"6" 5.90485037388007 -0.705496882786069 -1.99015060054072 16.343430850839 14.2975002854853 2.77259229894049 3.21864042151343 10.2528637165721 3.16831534014617 2.26825539189854 -1.87330670127233 0.606068504903411 -1.46661936671956 20.3616908784405 -1.94084826666675 -1.58668481313969 2.16242442685714 0.054585863409401
"7" 12.1658261179676 -4.84995864707933 -1.9192172768723 16.3242381693008 17.8999620672781 -2.42911309000411 3.58225279935977 14.9864425340941 2.44549473723054 1.60817613028587 -4.23965842470355 1.81838541784728 -1.98486834200767 23.4182154989249 -6.23774223462733 1.05488254784513 1.11135174397339 0.672980289780738
"8" 13.5885232547777 -5.62578999857152 -2.15008529040645 17.1862933678879 19.8276115539583 -4.64181882781681 3.07343850745443 15.8193500569883 3.35383746377304 3.06177741577015 -7.71901241276882 3.40051452165072 -2.57782923642389 24.6463820379066 -6.51841795500189 0.351064963531821 1.7981170447029 0.27264320872715
"9" 14.3396207931916 -6.36458608974708 -3.80448786374887 19.1355611681179 20.3581651339795 -7.40922479101422 3.84941949782217 15.3715427484651 4.37303272677411 2.17843814296653 -7.25937055191188 4.31254018110288 -2.39936076937535 22.6261261383737 -5.91402390556427 2.07288300987691 0.299077450037521 0.317688260493385
"10" 17.7577011840605 -6.95741340819929 -5.7545856439604 19.5786453333881 23.1491804002612 -11.784061513018 4.08204015956166 18.0445609192012 4.11768946712335 0.405861033260883 -8.47555892419331 4.65303430964906 -0.175488551844955 21.0108894919649 -6.660043391427 3.17297298844804 0.189975585253751 0.329632378204807
